,subject,response_raw,p_val,size,avg,act_as,play_against,temp,response
262,63,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
263,64,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
264,65,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
265,66,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
266,67,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
267,68,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
268,69,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
269,70,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
270,71,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
271,72,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
272,73,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
273,74,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
274,75,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
275,76,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
276,77,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
277,78,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
278,79,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
279,80,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
280,81,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
281,82,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
282,83,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
283,84,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
284,85,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
285,86,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
286,87,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
287,88,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
288,89,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
289,90,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
290,91,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
291,92,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
292,93,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
293,94,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
294,95,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
295,96,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
296,97,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
297,98,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
298,99,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
299,100,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.25,33
300,1,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
301,2,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
302,3,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
303,4,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
304,5,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
305,6,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
306,7,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
307,8,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
308,9,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
309,10,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
310,11,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
311,12,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
312,13,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
313,14,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
314,15,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
315,16,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
316,17,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
317,18,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
318,19,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
319,20,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
320,21,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
321,22,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
322,23,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
323,24,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
324,25,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
325,26,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
326,27,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
327,28,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
328,29,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
329,30,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
330,31,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
331,32,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
332,33,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
333,34,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
334,35,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
335,36,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
336,37,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
337,38,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
338,39,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
339,40,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
340,41,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
341,42,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
342,43,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
343,44,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
344,45,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
345,46,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
346,47,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
347,48,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
348,49,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
349,50,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
350,51,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
351,52,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
352,53,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
353,54,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
354,55,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
355,56,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
356,57,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
357,58,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
358,59,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
359,60,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
360,61,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
361,62,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
362,63,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
363,64,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
364,65,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
365,66,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
366,67,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
367,68,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
368,69,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
369,70,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
370,71,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
371,72,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
372,73,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
373,74,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
374,75,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
375,76,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
376,77,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
377,78,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
378,79,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
379,80,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
380,81,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
381,82,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
382,83,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
383,84,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
384,85,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
385,86,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
386,87,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
387,88,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
388,89,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
389,90,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
390,91,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
391,92,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
392,93,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
393,94,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
394,95,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
395,96,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
396,97,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
397,98,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
398,99,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
399,100,"[ContentBlock(text='[50]', type='text')]",2-Jan,11,average,human decision maker,human decision maker,0.5,50
400,1,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
401,2,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
402,3,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
403,4,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
404,5,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
405,6,"[ContentBlock(text='[66]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,66
406,7,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
407,8,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
408,9,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
409,10,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
410,11,"[ContentBlock(text='[66]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,66
411,12,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
412,13,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
413,14,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
414,15,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
415,16,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
416,17,"[ContentBlock(text='[66]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,66
417,18,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
418,19,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
419,20,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
420,21,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
421,22,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
422,23,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
423,24,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
424,25,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
425,26,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
426,27,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
427,28,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
428,29,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
429,30,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
430,31,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
431,32,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
432,33,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
433,34,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
434,35,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
435,36,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
436,37,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
437,38,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
438,39,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
439,40,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
440,41,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
441,42,"[ContentBlock(text='[66]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,66
442,43,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
443,44,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
444,45,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
445,46,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
446,47,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
447,48,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
448,49,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
449,50,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
450,51,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
451,52,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
452,53,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
453,54,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
454,55,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
455,56,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
456,57,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
457,58,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
458,59,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
459,60,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
460,61,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
461,62,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
462,63,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
463,64,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
464,65,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
465,66,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
466,67,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
467,68,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
468,69,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
469,70,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
470,71,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
471,72,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
472,73,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
473,74,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
474,75,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
475,76,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
476,77,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
477,78,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
478,79,"[ContentBlock(text='[66]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,66
479,80,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
480,81,"[ContentBlock(text='[66]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,66
481,82,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
482,83,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
483,84,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
484,85,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
485,86,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
486,87,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
487,88,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
488,89,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
489,90,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
490,91,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
491,92,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
492,93,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
493,94,"[ContentBlock(text='[66]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,66
494,95,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
495,96,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
496,97,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
497,98,"[ContentBlock(text='[66]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,66
498,99,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
499,100,"[ContentBlock(text='[33]', type='text')]",3-Feb,11,average,human decision maker,human decision maker,0.5,33
500,1,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
501,2,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
502,3,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
503,4,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
504,5,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
505,6,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
506,7,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
507,8,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
508,9,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
509,10,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
510,11,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
511,12,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
512,13,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
513,14,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
514,15,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
515,16,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
516,17,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
517,18,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
518,19,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
519,20,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
520,21,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
521,22,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
522,23,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
523,24,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
524,25,"[ContentBlock(text='[33]', type='text')]",3-Apr,11,average,human decision maker,human decision maker,0.5,33
