,subject,response,p_val,size,avg,act_as,play_against,temp
436,36,22,3-Feb,11,average,human decision maker,human decision maker,0.5
437,37,22,3-Feb,11,average,human decision maker,human decision maker,0.5
438,38,23,3-Feb,11,average,human decision maker,human decision maker,0.5
439,39,30,3-Feb,11,average,human decision maker,human decision maker,0.5
440,40,22,3-Feb,11,average,human decision maker,human decision maker,0.5
441,41,33,3-Feb,11,average,human decision maker,human decision maker,0.5
442,42,22,3-Feb,11,average,human decision maker,human decision maker,0.5
443,43,33,3-Feb,11,average,human decision maker,human decision maker,0.5
444,44,22,3-Feb,11,average,human decision maker,human decision maker,0.5
445,45,22,3-Feb,11,average,human decision maker,human decision maker,0.5
446,46,34,3-Feb,11,average,human decision maker,human decision maker,0.5
447,47,22,3-Feb,11,average,human decision maker,human decision maker,0.5
448,48,22,3-Feb,11,average,human decision maker,human decision maker,0.5
449,49,22,3-Feb,11,average,human decision maker,human decision maker,0.5
450,50,25,3-Feb,11,average,human decision maker,human decision maker,0.5
451,51,17,3-Feb,11,average,human decision maker,human decision maker,0.5
452,52,33,3-Feb,11,average,human decision maker,human decision maker,0.5
453,53,22,3-Feb,11,average,human decision maker,human decision maker,0.5
454,54,22,3-Feb,11,average,human decision maker,human decision maker,0.5
455,55,33,3-Feb,11,average,human decision maker,human decision maker,0.5
456,56,23,3-Feb,11,average,human decision maker,human decision maker,0.5
457,57,22,3-Feb,11,average,human decision maker,human decision maker,0.5
458,58,20,3-Feb,11,average,human decision maker,human decision maker,0.5
459,59,33,3-Feb,11,average,human decision maker,human decision maker,0.5
460,60,22,3-Feb,11,average,human decision maker,human decision maker,0.5
461,61,22,3-Feb,11,average,human decision maker,human decision maker,0.5
462,62,21,3-Feb,11,average,human decision maker,human decision maker,0.5
463,63,22,3-Feb,11,average,human decision maker,human decision maker,0.5
464,64,22,3-Feb,11,average,human decision maker,human decision maker,0.5
465,65,22,3-Feb,11,average,human decision maker,human decision maker,0.5
466,66,33,3-Feb,11,average,human decision maker,human decision maker,0.5
467,67,21,3-Feb,11,average,human decision maker,human decision maker,0.5
468,68,22,3-Feb,11,average,human decision maker,human decision maker,0.5
469,69,20,3-Feb,11,average,human decision maker,human decision maker,0.5
470,70,22,3-Feb,11,average,human decision maker,human decision maker,0.5
471,71,22,3-Feb,11,average,human decision maker,human decision maker,0.5
472,72,22,3-Feb,11,average,human decision maker,human decision maker,0.5
473,73,22,3-Feb,11,average,human decision maker,human decision maker,0.5
474,74,22,3-Feb,11,average,human decision maker,human decision maker,0.5
475,75,22,3-Feb,11,average,human decision maker,human decision maker,0.5
476,76,20,3-Feb,11,average,human decision maker,human decision maker,0.5
477,77,33,3-Feb,11,average,human decision maker,human decision maker,0.5
478,78,33,3-Feb,11,average,human decision maker,human decision maker,0.5
479,79,22,3-Feb,11,average,human decision maker,human decision maker,0.5
480,80,33,3-Feb,11,average,human decision maker,human decision maker,0.5
481,81,33,3-Feb,11,average,human decision maker,human decision maker,0.5
482,82,22,3-Feb,11,average,human decision maker,human decision maker,0.5
483,83,22,3-Feb,11,average,human decision maker,human decision maker,0.5
484,84,22,3-Feb,11,average,human decision maker,human decision maker,0.5
485,85,33,3-Feb,11,average,human decision maker,human decision maker,0.5
486,86,22,3-Feb,11,average,human decision maker,human decision maker,0.5
487,87,33,3-Feb,11,average,human decision maker,human decision maker,0.5
488,88,22,3-Feb,11,average,human decision maker,human decision maker,0.5
489,89,30,3-Feb,11,average,human decision maker,human decision maker,0.5
490,90,22,3-Feb,11,average,human decision maker,human decision maker,0.5
491,91,22,3-Feb,11,average,human decision maker,human decision maker,0.5
492,92,22,3-Feb,11,average,human decision maker,human decision maker,0.5
493,93,22,3-Feb,11,average,human decision maker,human decision maker,0.5
494,94,22,3-Feb,11,average,human decision maker,human decision maker,0.5
495,95,15,3-Feb,11,average,human decision maker,human decision maker,0.5
496,96,33,3-Feb,11,average,human decision maker,human decision maker,0.5
497,97,22,3-Feb,11,average,human decision maker,human decision maker,0.5
498,98,22,3-Feb,11,average,human decision maker,human decision maker,0.5
499,99,22,3-Feb,11,average,human decision maker,human decision maker,0.5
500,100,22,3-Feb,11,average,human decision maker,human decision maker,0.5
501,1,33,3-Apr,11,average,human decision maker,human decision maker,0.5
502,2,33,3-Apr,11,average,human decision maker,human decision maker,0.5
503,3,50,3-Apr,11,average,human decision maker,human decision maker,0.5
504,4,37,3-Apr,11,average,human decision maker,human decision maker,0.5
505,5,33,3-Apr,11,average,human decision maker,human decision maker,0.5
506,6,45,3-Apr,11,average,human decision maker,human decision maker,0.5
507,7,50,3-Apr,11,average,human decision maker,human decision maker,0.5
508,8,50,3-Apr,11,average,human decision maker,human decision maker,0.5
509,9,50,3-Apr,11,average,human decision maker,human decision maker,0.5
510,10,35,3-Apr,11,average,human decision maker,human decision maker,0.5
511,11,50,3-Apr,11,average,human decision maker,human decision maker,0.5
512,12,33,3-Apr,11,average,human decision maker,human decision maker,0.5
513,13,50,3-Apr,11,average,human decision maker,human decision maker,0.5
514,14,33,3-Apr,11,average,human decision maker,human decision maker,0.5
515,15,33,3-Apr,11,average,human decision maker,human decision maker,0.5
516,16,45,3-Apr,11,average,human decision maker,human decision maker,0.5
517,17,50,3-Apr,11,average,human decision maker,human decision maker,0.5
518,18,50,3-Apr,11,average,human decision maker,human decision maker,0.5
519,19,50,3-Apr,11,average,human decision maker,human decision maker,0.5
520,20,50,3-Apr,11,average,human decision maker,human decision maker,0.5
521,21,50,3-Apr,11,average,human decision maker,human decision maker,0.5
522,22,50,3-Apr,11,average,human decision maker,human decision maker,0.5
523,23,30,3-Apr,11,average,human decision maker,human decision maker,0.5
524,24,33,3-Apr,11,average,human decision maker,human decision maker,0.5
525,25,22,3-Apr,11,average,human decision maker,human decision maker,0.5
526,26,50,3-Apr,11,average,human decision maker,human decision maker,0.5
527,27,38,3-Apr,11,average,human decision maker,human decision maker,0.5
528,28,50,3-Apr,11,average,human decision maker,human decision maker,0.5
529,29,33,3-Apr,11,average,human decision maker,human decision maker,0.5
530,30,45,3-Apr,11,average,human decision maker,human decision maker,0.5
531,31,50,3-Apr,11,average,human decision maker,human decision maker,0.5
532,32,37,3-Apr,11,average,human decision maker,human decision maker,0.5
533,33,50,3-Apr,11,average,human decision maker,human decision maker,0.5
534,34,45,3-Apr,11,average,human decision maker,human decision maker,0.5
535,35,42,3-Apr,11,average,human decision maker,human decision maker,0.5
536,36,50,3-Apr,11,average,human decision maker,human decision maker,0.5
537,37,25,3-Apr,11,average,human decision maker,human decision maker,0.5
538,38,33,3-Apr,11,average,human decision maker,human decision maker,0.5
539,39,47,3-Apr,11,average,human decision maker,human decision maker,0.5
540,40,33,3-Apr,11,average,human decision maker,human decision maker,0.5
541,41,50,3-Apr,11,average,human decision maker,human decision maker,0.5
542,42,50,3-Apr,11,average,human decision maker,human decision maker,0.5
543,43,33,3-Apr,11,average,human decision maker,human decision maker,0.5
544,44,25,3-Apr,11,average,human decision maker,human decision maker,0.5
545,45,33,3-Apr,11,average,human decision maker,human decision maker,0.5
546,46,34,3-Apr,11,average,human decision maker,human decision maker,0.5
547,47,45,3-Apr,11,average,human decision maker,human decision maker,0.5
548,48,33,3-Apr,11,average,human decision maker,human decision maker,0.5
549,49,33,3-Apr,11,average,human decision maker,human decision maker,0.5
550,50,50,3-Apr,11,average,human decision maker,human decision maker,0.5
551,51,44,3-Apr,11,average,human decision maker,human decision maker,0.5
552,52,22,3-Apr,11,average,human decision maker,human decision maker,0.5
553,53,50,3-Apr,11,average,human decision maker,human decision maker,0.5
554,54,45,3-Apr,11,average,human decision maker,human decision maker,0.5
555,55,33,3-Apr,11,average,human decision maker,human decision maker,0.5
556,56,50,3-Apr,11,average,human decision maker,human decision maker,0.5
557,57,50,3-Apr,11,average,human decision maker,human decision maker,0.5
558,58,45,3-Apr,11,average,human decision maker,human decision maker,0.5
559,59,33,3-Apr,11,average,human decision maker,human decision maker,0.5
560,60,50,3-Apr,11,average,human decision maker,human decision maker,0.5
561,61,50,3-Apr,11,average,human decision maker,human decision maker,0.5
562,62,22,3-Apr,11,average,human decision maker,human decision maker,0.5
563,63,45,3-Apr,11,average,human decision maker,human decision maker,0.5
564,64,33,3-Apr,11,average,human decision maker,human decision maker,0.5
565,65,63,3-Apr,11,average,human decision maker,human decision maker,0.5
566,66,50,3-Apr,11,average,human decision maker,human decision maker,0.5
567,67,33,3-Apr,11,average,human decision maker,human decision maker,0.5
568,68,50,3-Apr,11,average,human decision maker,human decision maker,0.5
569,69,45,3-Apr,11,average,human decision maker,human decision maker,0.5
570,70,33,3-Apr,11,average,human decision maker,human decision maker,0.5
571,71,50,3-Apr,11,average,human decision maker,human decision maker,0.5
572,72,42,3-Apr,11,average,human decision maker,human decision maker,0.5
573,73,50,3-Apr,11,average,human decision maker,human decision maker,0.5
574,74,45,3-Apr,11,average,human decision maker,human decision maker,0.5
575,75,35,3-Apr,11,average,human decision maker,human decision maker,0.5
576,76,33,3-Apr,11,average,human decision maker,human decision maker,0.5
577,77,22,3-Apr,11,average,human decision maker,human decision maker,0.5
578,78,33,3-Apr,11,average,human decision maker,human decision maker,0.5
579,79,50,3-Apr,11,average,human decision maker,human decision maker,0.5
580,80,62,3-Apr,11,average,human decision maker,human decision maker,0.5
581,81,50,3-Apr,11,average,human decision maker,human decision maker,0.5
582,82,33,3-Apr,11,average,human decision maker,human decision maker,0.5
583,83,50,3-Apr,11,average,human decision maker,human decision maker,0.5
584,84,50,3-Apr,11,average,human decision maker,human decision maker,0.5
585,85,33,3-Apr,11,average,human decision maker,human decision maker,0.5
586,86,50,3-Apr,11,average,human decision maker,human decision maker,0.5
587,87,33,3-Apr,11,average,human decision maker,human decision maker,0.5
588,88,35,3-Apr,11,average,human decision maker,human decision maker,0.5
589,89,33,3-Apr,11,average,human decision maker,human decision maker,0.5
590,90,42,3-Apr,11,average,human decision maker,human decision maker,0.5
591,91,50,3-Apr,11,average,human decision maker,human decision maker,0.5
592,92,45,3-Apr,11,average,human decision maker,human decision maker,0.5
593,93,33,3-Apr,11,average,human decision maker,human decision maker,0.5
594,94,50,3-Apr,11,average,human decision maker,human decision maker,0.5
595,95,50,3-Apr,11,average,human decision maker,human decision maker,0.5
596,96,40,3-Apr,11,average,human decision maker,human decision maker,0.5
597,97,44,3-Apr,11,average,human decision maker,human decision maker,0.5
598,98,33,3-Apr,11,average,human decision maker,human decision maker,0.5
599,99,50,3-Apr,11,average,human decision maker,human decision maker,0.5
600,100,42,3-Apr,11,average,human decision maker,human decision maker,0.5
601,1,35,2-Jan,11,average,human decision maker,human decision maker,0.75
602,2,33,2-Jan,11,average,human decision maker,human decision maker,0.75
603,3,34,2-Jan,11,average,human decision maker,human decision maker,0.75
604,4,33,2-Jan,11,average,human decision maker,human decision maker,0.75
605,5,30,2-Jan,11,average,human decision maker,human decision maker,0.75
606,6,33,2-Jan,11,average,human decision maker,human decision maker,0.75
607,7,22,2-Jan,11,average,human decision maker,human decision maker,0.75
608,8,15,2-Jan,11,average,human decision maker,human decision maker,0.75
609,9,20,2-Jan,11,average,human decision maker,human decision maker,0.75
610,10,23,2-Jan,11,average,human decision maker,human decision maker,0.75
611,11,22,2-Jan,11,average,human decision maker,human decision maker,0.75
612,12,22,2-Jan,11,average,human decision maker,human decision maker,0.75
613,13,35,2-Jan,11,average,human decision maker,human decision maker,0.75
614,14,35,2-Jan,11,average,human decision maker,human decision maker,0.75
615,15,35,2-Jan,11,average,human decision maker,human decision maker,0.75
616,16,22,2-Jan,11,average,human decision maker,human decision maker,0.75
617,17,33,2-Jan,11,average,human decision maker,human decision maker,0.75
618,18,25,2-Jan,11,average,human decision maker,human decision maker,0.75
619,19,33,2-Jan,11,average,human decision maker,human decision maker,0.75
620,20,34,2-Jan,11,average,human decision maker,human decision maker,0.75
621,21,35,2-Jan,11,average,human decision maker,human decision maker,0.75
622,22,35,2-Jan,11,average,human decision maker,human decision maker,0.75
623,23,33,2-Jan,11,average,human decision maker,human decision maker,0.75
624,24,24,2-Jan,11,average,human decision maker,human decision maker,0.75
625,25,34,2-Jan,11,average,human decision maker,human decision maker,0.75
626,26,20,2-Jan,11,average,human decision maker,human decision maker,0.75
627,27,22,2-Jan,11,average,human decision maker,human decision maker,0.75
628,28,33,2-Jan,11,average,human decision maker,human decision maker,0.75
629,29,35,2-Jan,11,average,human decision maker,human decision maker,0.75
630,30,35,2-Jan,11,average,human decision maker,human decision maker,0.75
631,31,30,2-Jan,11,average,human decision maker,human decision maker,0.75
632,32,25,2-Jan,11,average,human decision maker,human decision maker,0.75
633,33,22,2-Jan,11,average,human decision maker,human decision maker,0.75
634,34,22,2-Jan,11,average,human decision maker,human decision maker,0.75
635,35,33,2-Jan,11,average,human decision maker,human decision maker,0.75
636,36,21,2-Jan,11,average,human decision maker,human decision maker,0.75
637,37,33,2-Jan,11,average,human decision maker,human decision maker,0.75
638,38,25,2-Jan,11,average,human decision maker,human decision maker,0.75
639,39,25,2-Jan,11,average,human decision maker,human decision maker,0.75
640,40,25,2-Jan,11,average,human decision maker,human decision maker,0.75
641,41,35,2-Jan,11,average,human decision maker,human decision maker,0.75
642,42,21,2-Jan,11,average,human decision maker,human decision maker,0.75
643,43,15,2-Jan,11,average,human decision maker,human decision maker,0.75
644,44,23,2-Jan,11,average,human decision maker,human decision maker,0.75
645,45,35,2-Jan,11,average,human decision maker,human decision maker,0.75
646,46,22,2-Jan,11,average,human decision maker,human decision maker,0.75
647,47,20,2-Jan,11,average,human decision maker,human decision maker,0.75
648,48,22,2-Jan,11,average,human decision maker,human decision maker,0.75
649,49,25,2-Jan,11,average,human decision maker,human decision maker,0.75
650,50,30,2-Jan,11,average,human decision maker,human decision maker,0.75
651,51,25,2-Jan,11,average,human decision maker,human decision maker,0.75
652,52,23,2-Jan,11,average,human decision maker,human decision maker,0.75
653,53,22,2-Jan,11,average,human decision maker,human decision maker,0.75
654,54,25,2-Jan,11,average,human decision maker,human decision maker,0.75
655,55,17,2-Jan,11,average,human decision maker,human decision maker,0.75
656,56,34,2-Jan,11,average,human decision maker,human decision maker,0.75
657,57,32,2-Jan,11,average,human decision maker,human decision maker,0.75
658,58,23,2-Jan,11,average,human decision maker,human decision maker,0.75
659,59,20,2-Jan,11,average,human decision maker,human decision maker,0.75
660,60,22,2-Jan,11,average,human decision maker,human decision maker,0.75
661,61,22,2-Jan,11,average,human decision maker,human decision maker,0.75
662,62,25,2-Jan,11,average,human decision maker,human decision maker,0.75
663,63,35,2-Jan,11,average,human decision maker,human decision maker,0.75
664,64,25,2-Jan,11,average,human decision maker,human decision maker,0.75
665,65,21,2-Jan,11,average,human decision maker,human decision maker,0.75
666,66,22,2-Jan,11,average,human decision maker,human decision maker,0.75
667,67,33,2-Jan,11,average,human decision maker,human decision maker,0.75
668,68,22,2-Jan,11,average,human decision maker,human decision maker,0.75
669,69,21,2-Jan,11,average,human decision maker,human decision maker,0.75
670,70,22,2-Jan,11,average,human decision maker,human decision maker,0.75
671,71,35,2-Jan,11,average,human decision maker,human decision maker,0.75
672,72,27,2-Jan,11,average,human decision maker,human decision maker,0.75
673,73,25,2-Jan,11,average,human decision maker,human decision maker,0.75
674,74,30,2-Jan,11,average,human decision maker,human decision maker,0.75
675,75,30,2-Jan,11,average,human decision maker,human decision maker,0.75
676,76,18,2-Jan,11,average,human decision maker,human decision maker,0.75
677,77,35,2-Jan,11,average,human decision maker,human decision maker,0.75
678,78,33,2-Jan,11,average,human decision maker,human decision maker,0.75
679,79,33,2-Jan,11,average,human decision maker,human decision maker,0.75
680,80,25,2-Jan,11,average,human decision maker,human decision maker,0.75
681,81,25,2-Jan,11,average,human decision maker,human decision maker,0.75
682,82,23,2-Jan,11,average,human decision maker,human decision maker,0.75
683,83,22,2-Jan,11,average,human decision maker,human decision maker,0.75
684,84,22,2-Jan,11,average,human decision maker,human decision maker,0.75
685,85,33,2-Jan,11,average,human decision maker,human decision maker,0.75
686,86,17,2-Jan,11,average,human decision maker,human decision maker,0.75
687,87,22,2-Jan,11,average,human decision maker,human decision maker,0.75
688,88,22,2-Jan,11,average,human decision maker,human decision maker,0.75
689,89,22,2-Jan,11,average,human decision maker,human decision maker,0.75
690,90,27,2-Jan,11,average,human decision maker,human decision maker,0.75
691,91,33,2-Jan,11,average,human decision maker,human decision maker,0.75
692,92,25,2-Jan,11,average,human decision maker,human decision maker,0.75
693,93,25,2-Jan,11,average,human decision maker,human decision maker,0.75
694,94,11,2-Jan,11,average,human decision maker,human decision maker,0.75
695,95,15,2-Jan,11,average,human decision maker,human decision maker,0.75
696,96,35,2-Jan,11,average,human decision maker,human decision maker,0.75
697,97,22,2-Jan,11,average,human decision maker,human decision maker,0.75
698,98,33,2-Jan,11,average,human decision maker,human decision maker,0.75
699,99,22,2-Jan,11,average,human decision maker,human decision maker,0.75
700,100,30,2-Jan,11,average,human decision maker,human decision maker,0.75
701,1,20,3-Feb,11,average,human decision maker,human decision maker,0.75
702,2,33,3-Feb,11,average,human decision maker,human decision maker,0.75
703,3,21,3-Feb,11,average,human decision maker,human decision maker,0.75
704,4,22,3-Feb,11,average,human decision maker,human decision maker,0.75
705,5,22,3-Feb,11,average,human decision maker,human decision maker,0.75
706,6,22,3-Feb,11,average,human decision maker,human decision maker,0.75
707,7,33,3-Feb,11,average,human decision maker,human decision maker,0.75
708,8,21,3-Feb,11,average,human decision maker,human decision maker,0.75
709,9,18,3-Feb,11,average,human decision maker,human decision maker,0.75
710,10,33,3-Feb,11,average,human decision maker,human decision maker,0.75
711,11,25,3-Feb,11,average,human decision maker,human decision maker,0.75
712,12,22,3-Feb,11,average,human decision maker,human decision maker,0.75
713,13,33,3-Feb,11,average,human decision maker,human decision maker,0.75
714,14,22,3-Feb,11,average,human decision maker,human decision maker,0.75
715,15,22,3-Feb,11,average,human decision maker,human decision maker,0.75
716,16,18,3-Feb,11,average,human decision maker,human decision maker,0.75
717,17,24,3-Feb,11,average,human decision maker,human decision maker,0.75
718,18,21,3-Feb,11,average,human decision maker,human decision maker,0.75
719,19,33,3-Feb,11,average,human decision maker,human decision maker,0.75
720,20,33,3-Feb,11,average,human decision maker,human decision maker,0.75
721,21,35,3-Feb,11,average,human decision maker,human decision maker,0.75
722,22,22,3-Feb,11,average,human decision maker,human decision maker,0.75
723,23,25,3-Feb,11,average,human decision maker,human decision maker,0.75
724,24,20,3-Feb,11,average,human decision maker,human decision maker,0.75
725,25,25,3-Feb,11,average,human decision maker,human decision maker,0.75
726,26,22,3-Feb,11,average,human decision maker,human decision maker,0.75
727,27,33,3-Feb,11,average,human decision maker,human decision maker,0.75
728,28,22,3-Feb,11,average,human decision maker,human decision maker,0.75
729,29,37,3-Feb,11,average,human decision maker,human decision maker,0.75
730,30,22,3-Feb,11,average,human decision maker,human decision maker,0.75
731,31,33,3-Feb,11,average,human decision maker,human decision maker,0.75
732,32,22,3-Feb,11,average,human decision maker,human decision maker,0.75
733,33,22,3-Feb,11,average,human decision maker,human decision maker,0.75
734,34,33,3-Feb,11,average,human decision maker,human decision maker,0.75
735,35,33,3-Feb,11,average,human decision maker,human decision maker,0.75
736,36,25,3-Feb,11,average,human decision maker,human decision maker,0.75
737,37,33,3-Feb,11,average,human decision maker,human decision maker,0.75
738,38,22,3-Feb,11,average,human decision maker,human decision maker,0.75
739,39,18,3-Feb,11,average,human decision maker,human decision maker,0.75
740,40,33,3-Feb,11,average,human decision maker,human decision maker,0.75
741,41,21,3-Feb,11,average,human decision maker,human decision maker,0.75
742,42,22,3-Feb,11,average,human decision maker,human decision maker,0.75
743,43,21,3-Feb,11,average,human decision maker,human decision maker,0.75
744,44,21,3-Feb,11,average,human decision maker,human decision maker,0.75
745,45,33,3-Feb,11,average,human decision maker,human decision maker,0.75
746,46,22,3-Feb,11,average,human decision maker,human decision maker,0.75
747,47,33,3-Feb,11,average,human decision maker,human decision maker,0.75
748,48,22,3-Feb,11,average,human decision maker,human decision maker,0.75
749,49,33,3-Feb,11,average,human decision maker,human decision maker,0.75
750,50,21,3-Feb,11,average,human decision maker,human decision maker,0.75
751,51,20,3-Feb,11,average,human decision maker,human decision maker,0.75
752,52,25,3-Feb,11,average,human decision maker,human decision maker,0.75
753,53,32,3-Feb,11,average,human decision maker,human decision maker,0.75
754,54,33,3-Feb,11,average,human decision maker,human decision maker,0.75
755,55,33,3-Feb,11,average,human decision maker,human decision maker,0.75
756,56,33,3-Feb,11,average,human decision maker,human decision maker,0.75
757,57,33,3-Feb,11,average,human decision maker,human decision maker,0.75
758,58,22,3-Feb,11,average,human decision maker,human decision maker,0.75
759,59,33,3-Feb,11,average,human decision maker,human decision maker,0.75
760,60,22,3-Feb,11,average,human decision maker,human decision maker,0.75
761,61,30,3-Feb,11,average,human decision maker,human decision maker,0.75
762,62,22,3-Feb,11,average,human decision maker,human decision maker,0.75
763,63,22,3-Feb,11,average,human decision maker,human decision maker,0.75
764,64,21,3-Feb,11,average,human decision maker,human decision maker,0.75
765,65,21,3-Feb,11,average,human decision maker,human decision maker,0.75
766,66,22,3-Feb,11,average,human decision maker,human decision maker,0.75
767,67,22,3-Feb,11,average,human decision maker,human decision maker,0.75
768,68,27,3-Feb,11,average,human decision maker,human decision maker,0.75
769,69,34,3-Feb,11,average,human decision maker,human decision maker,0.75
770,70,22,3-Feb,11,average,human decision maker,human decision maker,0.75
771,71,22,3-Feb,11,average,human decision maker,human decision maker,0.75
772,72,17,3-Feb,11,average,human decision maker,human decision maker,0.75
773,73,22,3-Feb,11,average,human decision maker,human decision maker,0.75
774,74,22,3-Feb,11,average,human decision maker,human decision maker,0.75
775,75,22,3-Feb,11,average,human decision maker,human decision maker,0.75
776,76,35,3-Feb,11,average,human decision maker,human decision maker,0.75
777,77,22,3-Feb,11,average,human decision maker,human decision maker,0.75
778,78,18,3-Feb,11,average,human decision maker,human decision maker,0.75
779,79,32,3-Feb,11,average,human decision maker,human decision maker,0.75
780,80,23,3-Feb,11,average,human decision maker,human decision maker,0.75
781,81,22,3-Feb,11,average,human decision maker,human decision maker,0.75
782,82,21,3-Feb,11,average,human decision maker,human decision maker,0.75
783,83,16,3-Feb,11,average,human decision maker,human decision maker,0.75
784,84,22,3-Feb,11,average,human decision maker,human decision maker,0.75
785,85,22,3-Feb,11,average,human decision maker,human decision maker,0.75
786,86,22,3-Feb,11,average,human decision maker,human decision maker,0.75
787,87,33,3-Feb,11,average,human decision maker,human decision maker,0.75
788,88,22,3-Feb,11,average,human decision maker,human decision maker,0.75
789,89,22,3-Feb,11,average,human decision maker,human decision maker,0.75
790,90,33,3-Feb,11,average,human decision maker,human decision maker,0.75
791,91,19,3-Feb,11,average,human decision maker,human decision maker,0.75
792,92,22,3-Feb,11,average,human decision maker,human decision maker,0.75
793,93,33,3-Feb,11,average,human decision maker,human decision maker,0.75
794,94,22,3-Feb,11,average,human decision maker,human decision maker,0.75
795,95,21,3-Feb,11,average,human decision maker,human decision maker,0.75
796,96,23,3-Feb,11,average,human decision maker,human decision maker,0.75
797,97,22,3-Feb,11,average,human decision maker,human decision maker,0.75
798,98,22,3-Feb,11,average,human decision maker,human decision maker,0.75
799,99,22,3-Feb,11,average,human decision maker,human decision maker,0.75
800,100,21,3-Feb,11,average,human decision maker,human decision maker,0.75
801,1,47,3-Apr,11,average,human decision maker,human decision maker,0.75
802,2,50,3-Apr,11,average,human decision maker,human decision maker,0.75
803,3,33,3-Apr,11,average,human decision maker,human decision maker,0.75
804,4,35,3-Apr,11,average,human decision maker,human decision maker,0.75
805,5,37,3-Apr,11,average,human decision maker,human decision maker,0.75
806,6,25,3-Apr,11,average,human decision maker,human decision maker,0.75
807,7,50,3-Apr,11,average,human decision maker,human decision maker,0.75
808,8,22,3-Apr,11,average,human decision maker,human decision maker,0.75
809,9,33,3-Apr,11,average,human decision maker,human decision maker,0.75
810,10,50,3-Apr,11,average,human decision maker,human decision maker,0.75
811,11,33,3-Apr,11,average,human decision maker,human decision maker,0.75
812,12,40,3-Apr,11,average,human decision maker,human decision maker,0.75
813,13,50,3-Apr,11,average,human decision maker,human decision maker,0.75
814,14,33,3-Apr,11,average,human decision maker,human decision maker,0.75
815,15,55,3-Apr,11,average,human decision maker,human decision maker,0.75
816,16,45,3-Apr,11,average,human decision maker,human decision maker,0.75
817,17,33,3-Apr,11,average,human decision maker,human decision maker,0.75
818,18,67,3-Apr,11,average,human decision maker,human decision maker,0.75
819,19,25,3-Apr,11,average,human decision maker,human decision maker,0.75
820,20,52,3-Apr,11,average,human decision maker,human decision maker,0.75
821,21,33,3-Apr,11,average,human decision maker,human decision maker,0.75
822,22,33,3-Apr,11,average,human decision maker,human decision maker,0.75
823,23,33,3-Apr,11,average,human decision maker,human decision maker,0.75
824,24,55,3-Apr,11,average,human decision maker,human decision maker,0.75
825,25,40,3-Apr,11,average,human decision maker,human decision maker,0.75
826,26,25,3-Apr,11,average,human decision maker,human decision maker,0.75
827,27,33,3-Apr,11,average,human decision maker,human decision maker,0.75
828,28,50,3-Apr,11,average,human decision maker,human decision maker,0.75
829,29,22,3-Apr,11,average,human decision maker,human decision maker,0.75
830,30,45,3-Apr,11,average,human decision maker,human decision maker,0.75
831,31,47,3-Apr,11,average,human decision maker,human decision maker,0.75
832,32,50,3-Apr,11,average,human decision maker,human decision maker,0.75
833,33,50,3-Apr,11,average,human decision maker,human decision maker,0.75
834,34,34,3-Apr,11,average,human decision maker,human decision maker,0.75
835,35,24,3-Apr,11,average,human decision maker,human decision maker,0.75
836,36,27,3-Apr,11,average,human decision maker,human decision maker,0.75
837,37,35,3-Apr,11,average,human decision maker,human decision maker,0.75
838,38,33,3-Apr,11,average,human decision maker,human decision maker,0.75
839,39,45,3-Apr,11,average,human decision maker,human decision maker,0.75
840,40,34,3-Apr,11,average,human decision maker,human decision maker,0.75
841,41,40,3-Apr,11,average,human decision maker,human decision maker,0.75
842,42,33,3-Apr,11,average,human decision maker,human decision maker,0.75
843,43,37,3-Apr,11,average,human decision maker,human decision maker,0.75
844,44,64,3-Apr,11,average,human decision maker,human decision maker,0.75
845,45,37,3-Apr,11,average,human decision maker,human decision maker,0.75
846,46,50,3-Apr,11,average,human decision maker,human decision maker,0.75
847,47,45,3-Apr,11,average,human decision maker,human decision maker,0.75
848,48,37,3-Apr,11,average,human decision maker,human decision maker,0.75
849,49,30,3-Apr,11,average,human decision maker,human decision maker,0.75
850,50,45,3-Apr,11,average,human decision maker,human decision maker,0.75
851,51,35,3-Apr,11,average,human decision maker,human decision maker,0.75
852,52,22,3-Apr,11,average,human decision maker,human decision maker,0.75
853,53,33,3-Apr,11,average,human decision maker,human decision maker,0.75
854,54,48,3-Apr,11,average,human decision maker,human decision maker,0.75
855,55,40,3-Apr,11,average,human decision maker,human decision maker,0.75
856,56,50,3-Apr,11,average,human decision maker,human decision maker,0.75
857,57,35,3-Apr,11,average,human decision maker,human decision maker,0.75
858,58,50,3-Apr,11,average,human decision maker,human decision maker,0.75
859,59,35,3-Apr,11,average,human decision maker,human decision maker,0.75
860,60,33,3-Apr,11,average,human decision maker,human decision maker,0.75
861,61,35,3-Apr,11,average,human decision maker,human decision maker,0.75
862,62,50,3-Apr,11,average,human decision maker,human decision maker,0.75
863,63,50,3-Apr,11,average,human decision maker,human decision maker,0.75
864,64,45,3-Apr,11,average,human decision maker,human decision maker,0.75
865,65,50,3-Apr,11,average,human decision maker,human decision maker,0.75
866,66,50,3-Apr,11,average,human decision maker,human decision maker,0.75
867,67,50,3-Apr,11,average,human decision maker,human decision maker,0.75
868,68,33,3-Apr,11,average,human decision maker,human decision maker,0.75
869,69,65,3-Apr,11,average,human decision maker,human decision maker,0.75
870,70,50,3-Apr,11,average,human decision maker,human decision maker,0.75
871,71,22,3-Apr,11,average,human decision maker,human decision maker,0.75
