subject,response,p_val,size,avg,act_as,play_against,temp
55,40,3-Feb,unknown,average,human decision maker,human decision maker,0.25
56,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
57,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
58,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
59,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
60,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
61,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
62,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
63,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
64,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
65,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
66,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
67,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
68,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
69,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
70,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
71,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
72,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
73,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
74,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
75,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
76,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
77,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
78,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
79,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
80,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
81,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
82,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
83,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
84,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
85,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
86,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
87,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
88,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
89,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
90,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
91,40,3-Feb,unknown,average,human decision maker,human decision maker,0.25
92,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
93,40,3-Feb,unknown,average,human decision maker,human decision maker,0.25
94,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
95,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
96,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
97,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
98,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
99,33,3-Feb,unknown,average,human decision maker,human decision maker,0.25
100,40,3-Feb,unknown,average,human decision maker,human decision maker,0.25
1,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
2,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
3,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
4,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
5,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
6,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
7,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
8,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
9,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
10,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
11,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
12,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
13,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
14,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
15,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
16,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
17,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
18,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
19,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
20,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
21,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
22,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
23,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
24,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
25,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
26,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
27,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
28,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
29,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
30,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
31,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
32,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
33,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
34,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
35,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
36,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
37,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
38,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
39,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
40,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
41,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
42,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
43,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
44,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
45,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
46,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
47,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
48,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
49,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
50,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
51,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
52,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
53,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
54,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
55,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
56,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
57,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
58,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
59,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
60,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
61,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
62,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
63,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
64,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
65,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
66,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
67,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
68,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
69,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
70,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
71,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
72,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
73,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
74,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
75,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
76,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
77,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
78,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
79,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
80,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
81,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
82,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
83,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
84,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
85,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
86,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
87,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
88,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
89,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
90,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
91,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
92,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
93,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
94,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
95,40,3-Feb,unknown,average,human decision maker,human decision maker,0.75
96,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
97,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
98,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
99,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
100,33,3-Feb,unknown,average,human decision maker,human decision maker,0.75
