session,subject,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,p_val,size,avg,act_as,play_against,random,feedback,temp
4,9,25,50,65,70,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,10,22,52,65,70,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
4,11,25,50,65,75,90,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
5,1,53,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
5,2,53,50,40,70,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
5,3,22,52,65,75,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
5,4,53,50,65,75,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
5,5,55,50,65,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
5,6,60,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
5,7,55,50,65,70,80,95,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
5,8,53,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
5,9,60,50,65,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
5,10,50,50,65,70,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
5,11,25,50,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
6,1,60,60,65,75,90,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
6,2,25,50,65,75,80,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
6,3,22,52,62,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
6,4,55,50,62,70,80,85,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
6,5,50,50,65,75,90,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
6,6,53,50,65,70,80,90,95,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
6,7,25,50,65,70,80,85,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
6,8,60,50,65,70,90,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
6,9,53,50,65,70,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
6,10,25,60,65,70,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
6,11,25,50,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
7,1,60,50,65,75,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
7,2,60,50,65,70,90,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
7,3,20,50,65,75,80,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
7,4,60,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
7,5,55,52,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
7,6,22,50,40,70,80,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
7,7,60,60,65,75,90,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
7,8,25,50,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
7,9,53,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
7,10,60,50,65,70,90,95,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
7,11,60,50,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
8,1,25,50,65,75,80,95,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
8,2,60,52,65,75,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
8,3,25,50,65,70,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
8,4,50,50,65,70,80,90,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
8,5,60,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
8,6,60,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
8,7,53,50,62,75,80,85,98,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
8,8,25,60,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
8,9,60,50,65,75,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
8,10,60,50,65,70,80,90,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
8,11,60,60,62,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
9,1,20,50,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
9,2,60,50,62,70,80,90,95,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
9,3,60,50,65,75,90,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
9,4,25,60,65,70,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
9,5,55,50,65,70,80,85,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
9,6,50,60,62,70,80,90,100,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
9,7,25,50,65,75,80,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
9,8,25,50,65,70,80,90,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
9,9,60,60,65,70,80,95,90,99,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
9,10,53,52,65,70,90,90,90,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
9,11,55,50,65,70,80,95,100,100,100,100,3-Apr,11,average,human decision maker,human decision makers,fixed,feedback,0.75
