"X","subject","response","p_val","size","avg","act_as","play_against","temp"
611,11,50,"3-Feb","2","average","human decision maker","human decision maker",0.75
612,12,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
613,13,42,"3-Feb","2","average","human decision maker","human decision maker",0.75
614,14,25,"3-Feb","2","average","human decision maker","human decision maker",0.75
615,15,25,"3-Feb","2","average","human decision maker","human decision maker",0.75
616,16,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
617,17,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
618,18,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
619,19,37,"3-Feb","2","average","human decision maker","human decision maker",0.75
620,20,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
621,21,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
622,22,30,"3-Feb","2","average","human decision maker","human decision maker",0.75
623,23,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
624,24,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
625,25,35,"3-Feb","2","average","human decision maker","human decision maker",0.75
626,26,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
627,27,35,"3-Feb","2","average","human decision maker","human decision maker",0.75
628,28,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
629,29,37,"3-Feb","2","average","human decision maker","human decision maker",0.75
630,30,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
631,31,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
632,32,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
633,33,27,"3-Feb","2","average","human decision maker","human decision maker",0.75
634,34,16,"3-Feb","2","average","human decision maker","human decision maker",0.75
635,35,32,"3-Feb","2","average","human decision maker","human decision maker",0.75
636,36,45,"3-Feb","2","average","human decision maker","human decision maker",0.75
637,37,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
638,38,25,"3-Feb","2","average","human decision maker","human decision maker",0.75
639,39,25,"3-Feb","2","average","human decision maker","human decision maker",0.75
640,40,35,"3-Feb","2","average","human decision maker","human decision maker",0.75
641,41,42,"3-Feb","2","average","human decision maker","human decision maker",0.75
642,42,22,"3-Feb","2","average","human decision maker","human decision maker",0.75
643,43,35,"3-Feb","2","average","human decision maker","human decision maker",0.75
644,44,27,"3-Feb","2","average","human decision maker","human decision maker",0.75
645,45,50,"3-Feb","2","average","human decision maker","human decision maker",0.75
646,46,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
647,47,23,"3-Feb","2","average","human decision maker","human decision maker",0.75
648,48,25,"3-Feb","2","average","human decision maker","human decision maker",0.75
649,49,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
650,50,45,"3-Feb","2","average","human decision maker","human decision maker",0.75
651,51,37,"3-Feb","2","average","human decision maker","human decision maker",0.75
652,52,37,"3-Feb","2","average","human decision maker","human decision maker",0.75
653,53,50,"3-Feb","2","average","human decision maker","human decision maker",0.75
654,54,35,"3-Feb","2","average","human decision maker","human decision maker",0.75
655,55,25,"3-Feb","2","average","human decision maker","human decision maker",0.75
656,56,38,"3-Feb","2","average","human decision maker","human decision maker",0.75
657,57,23,"3-Feb","2","average","human decision maker","human decision maker",0.75
658,58,37,"3-Feb","2","average","human decision maker","human decision maker",0.75
659,59,34,"3-Feb","2","average","human decision maker","human decision maker",0.75
660,60,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
661,61,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
662,62,21,"3-Feb","2","average","human decision maker","human decision maker",0.75
663,63,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
664,64,50,"3-Feb","2","average","human decision maker","human decision maker",0.75
665,65,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
666,66,35,"3-Feb","2","average","human decision maker","human decision maker",0.75
667,67,23,"3-Feb","2","average","human decision maker","human decision maker",0.75
668,68,36,"3-Feb","2","average","human decision maker","human decision maker",0.75
669,69,39,"3-Feb","2","average","human decision maker","human decision maker",0.75
670,70,50,"3-Feb","2","average","human decision maker","human decision maker",0.75
671,71,50,"3-Feb","2","average","human decision maker","human decision maker",0.75
672,72,45,"3-Feb","2","average","human decision maker","human decision maker",0.75
673,73,34,"3-Feb","2","average","human decision maker","human decision maker",0.75
674,74,35,"3-Feb","2","average","human decision maker","human decision maker",0.75
675,75,50,"3-Feb","2","average","human decision maker","human decision maker",0.75
676,76,49,"3-Feb","2","average","human decision maker","human decision maker",0.75
677,77,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
678,78,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
679,79,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
680,80,25,"3-Feb","2","average","human decision maker","human decision maker",0.75
681,81,45,"3-Feb","2","average","human decision maker","human decision maker",0.75
682,82,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
683,83,20,"3-Feb","2","average","human decision maker","human decision maker",0.75
684,84,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
685,85,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
686,86,50,"3-Feb","2","average","human decision maker","human decision maker",0.75
687,87,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
688,88,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
689,89,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
690,90,37,"3-Feb","2","average","human decision maker","human decision maker",0.75
691,91,35,"3-Feb","2","average","human decision maker","human decision maker",0.75
692,92,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
693,93,42,"3-Feb","2","average","human decision maker","human decision maker",0.75
694,94,27,"3-Feb","2","average","human decision maker","human decision maker",0.75
695,95,37,"3-Feb","2","average","human decision maker","human decision maker",0.75
696,96,34,"3-Feb","2","average","human decision maker","human decision maker",0.75
697,97,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
698,98,38,"3-Feb","2","average","human decision maker","human decision maker",0.75
699,99,30,"3-Feb","2","average","human decision maker","human decision maker",0.75
700,100,33,"3-Feb","2","average","human decision maker","human decision maker",0.75
801,1,40,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
802,2,13,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
803,3,15,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
804,4,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
805,5,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
806,6,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
807,7,43,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
808,8,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
809,9,23,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
810,10,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
811,11,56,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
812,12,24,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
813,13,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
814,14,13,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
815,15,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
816,16,20,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
817,17,27,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
818,18,21,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
819,19,20,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
820,20,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
821,21,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
822,22,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
823,23,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
824,24,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
825,25,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
826,26,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
827,27,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
828,28,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
829,29,15,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
830,30,17,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
831,31,22,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
832,32,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
833,33,19,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
834,34,21,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
835,35,29,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
836,36,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
837,37,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
838,38,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
839,39,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
840,40,45,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
841,41,13,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
842,42,12,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
843,43,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
844,44,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
845,45,32,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
846,46,15,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
847,47,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
848,48,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
849,49,45,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
850,50,47,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
851,51,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
852,52,19,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
853,53,50,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
854,54,17,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
855,55,34,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
856,56,15,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
857,57,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
858,58,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
859,59,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
860,60,50,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
861,61,30,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
862,62,23,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
863,63,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
864,64,17,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
865,65,26,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
866,66,15,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
867,67,23,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
868,68,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
869,69,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
870,70,24,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
871,71,18,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
872,72,22,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
873,73,34,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
874,74,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
875,75,37,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
876,76,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
877,77,42,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
878,78,22,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
879,79,29,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
880,80,24,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
881,81,22,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
882,82,20,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
883,83,32,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
884,84,21,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
885,85,14,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
886,86,34,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
887,87,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
888,88,1,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
889,89,33,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
890,90,15,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
891,91,18,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
892,92,47,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
893,93,21,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
894,94,2,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
895,95,30,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
896,96,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
897,97,50,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
898,98,23,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
899,99,25,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
900,100,35,"3-Feb","unknown","average","human decision maker","human decision maker",0.75
