X,subject,LLM,p0,p1,p2,p3,p4,p5,n_round1,n_round2,n_round3,n_round4,n_round5,n_round6,n_round7,n_round8,n_round9,n_round10,n_round11,n_round12,n_round13,n_round14,n_round15,n_round16,treatment,temperature,ci_lower_p0,ci_upper_p0,ci_lower_p1,ci_upper_p1,ci_lower_p2,ci_upper_p2,ci_lower_p3,ci_upper_p3,ci_lower_p4,ci_upper_p4,ci_lower_p5,ci_upper_p5,ci_lower_n_round1,ci_upper_n_round1,ci_lower_n_round2,ci_upper_n_round2,ci_lower_n_round3,ci_upper_n_round3,ci_lower_n_round4,ci_upper_n_round4,ci_lower_n_round5,ci_upper_n_round5,ci_lower_n_round6,ci_upper_n_round6,ci_lower_n_round7,ci_upper_n_round7,ci_lower_n_round8,ci_upper_n_round8,ci_lower_n_round9,ci_upper_n_round9,ci_lower_n_round10,ci_upper_n_round10,ci_lower_n_round11,ci_upper_n_round11,ci_lower_n_round12,ci_upper_n_round12,ci_lower_n_round13,ci_upper_n_round13,ci_lower_n_round14,ci_upper_n_round14,ci_lower_n_round15,ci_upper_n_round15,ci_lower_n_round16,ci_upper_n_round16
57,57,gemini2,0.551514681,0.315551184,1.58E-06,0.007876288,2.81E-06,0.125053455,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
58,58,gemini2,0.600926006,0.199020029,0.075050227,2.63E-09,8.87E-08,0.125003647,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
59,59,gemini2,0.384459326,0.278585054,0.102706226,0.046661875,5.46E-08,0.187587464,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
60,60,gemini2,0.416676232,0.220164454,3.21E-08,0.05065788,5.53E-08,0.312501347,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
61,61,gemini2,0.735186119,0.20231311,2.62E-11,3.27E-08,3.71E-08,0.062500701,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
62,62,gemini2,0.750512641,0.06519535,6.46E-08,0.059286607,7.77E-08,0.12500526,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
63,63,gemini2,0.382711257,0.206093759,0.118082367,0.042237319,2.09E-07,0.250875088,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
64,64,gemini2,0.614608365,0.220020384,0.040371049,5.76E-09,4.96E-08,0.125000146,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
65,65,gemini2,0.476225463,0.135545667,0.097547903,0.040677583,4.83E-08,0.250003336,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
66,66,gemini2,0.470382737,0.208124448,6.75E-07,0.11506843,0.081419883,0.125003827,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
67,67,gemini2,0.637024953,0.26307128,0.037403062,2.97E-09,6.09E-08,0.062500641,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
68,68,gemini2,0.467927656,0.408671469,0.060898999,2.12E-08,8.14E-08,0.062501774,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
69,69,gemini2,0.639810957,0.247540465,0.03743464,0.012712744,7.59E-08,0.062501119,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
70,70,gemini2,0.546243263,0.07584658,0.114539831,8.02E-08,0.024157205,0.239213041,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
71,71,gemini2,0.465015398,0.205924922,0.090284792,0.051273036,7.72E-08,0.187501775,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
72,72,gemini2,0.549283642,0.179206391,7.15E-09,0.021495526,5.18E-08,0.250014382,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
73,73,gemini2,0.367695408,0.229144937,0.109048003,0.044111611,6.89E-07,0.249999353,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
74,74,gemini2,0.692546146,0.067886295,0.052065688,1.81E-08,5.06E-08,0.187501803,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
75,75,gemini2,0.543654879,0.228426178,0.039949301,2.69E-08,6.27E-08,0.187969552,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
76,76,gemini2,0.329191107,0.201566806,0.281056186,3.59E-08,1.87E-07,0.188185679,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
77,77,gemini2,0.401621903,0.278524453,0.080658948,0.051691899,7.20E-08,0.187502726,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
78,78,gemini2,0.819515727,0.089688489,0.028298442,5.73E-08,8.08E-08,0.062497204,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
79,79,gemini2,0.502268911,0.218226523,0.092003204,5.11E-09,3.84E-08,0.187501318,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
80,80,gemini2,0.627964633,0.148355994,0.036172499,1.93E-08,5.04E-08,0.187506805,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
81,81,gemini2,0.634878332,0.262797389,0.01472885,7.67E-08,0.025092802,0.06250255,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
82,82,gemini2,0.640134834,0.122460707,9.64E-08,0.047689105,0.064613033,0.125102225,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
83,83,gemini2,0.640670421,0.097267542,0.07456457,3.59E-08,4.83E-08,0.187497383,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
84,84,gemini2,0.576664724,0.095186375,0.042211123,0.035957602,6.44E-08,0.249980111,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
85,85,gemini2,0.690585022,0.12059233,0.065688296,0.021982207,0.038650065,0.06250208,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
86,86,gemini2,0.635087012,0.090822471,2.62E-10,6.40E-08,0.024070123,0.25002033,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
87,87,gemini2,0.531938326,0.213075082,0.033162634,0.096507058,4.63E-08,0.125316854,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
88,88,gemini2,0.681879934,0.076822842,0.038851441,8.28E-08,0.07744642,0.12499928,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
89,89,gemini2,0.56214498,0.094755913,0.15559894,4.48E-08,3.87E-08,0.187500083,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
90,90,gemini2,0.309089496,0.226273254,0.1556465,0.058987564,4.55E-08,0.25000314,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
91,91,gemini2,0.489778044,0.165610933,0.122520397,7.26E-08,0.034588384,0.18750217,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
92,92,gemini2,0.403984273,0.230537462,0.185300741,3.57E-08,1.99E-08,0.180177469,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
93,93,gemini2,0.657875805,0.065149248,7.48E-10,0.026973258,4.98E-08,0.25000164,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
94,94,gemini2,0.581226176,8.76E-08,0.167458101,3.28E-08,1.60E-08,0.251315587,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
95,95,gemini2,0.392782937,0.118270032,0.142878746,0.033566541,1.22E-06,0.312500522,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
96,96,gemini2,0.451827882,0.273699389,0.045221106,0.041734141,6.75E-08,0.187517414,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
97,97,gemini2,0.42987317,0.274883373,0.107654898,1.93E-08,3.51E-08,0.187588504,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
98,98,gemini2,0.625624048,0.139905345,0.075789099,0.033670327,7.65E-08,0.125011105,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
99,99,gemini2,0.490950639,0.282335933,7.07E-09,0.039210971,6.50E-08,0.187502385,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
100,100,gemini2,0.604527449,0.185315301,0.02263855,3.76E-06,3.96E-06,0.187510981,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_0.5,0.5,0.353279554,0.740166947,0.024998401,0.348845448,2.75E-09,0.175185394,4.92E-09,0.098594059,2.07E-08,0.043406936,0.062500776,0.312500009,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
1,1,chatgpto1,0.205941706,0.29530133,1.67E-08,1.59E-08,1.70E-08,0.498756914,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
2,2,chatgpto1,0.383477237,0.116499628,1.98E-08,1.98E-08,1.98E-08,0.500023076,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
3,3,chatgpto1,0.323915607,0.113527826,1.71E-08,2.33E-08,1.94E-08,0.562556507,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
4,4,chatgpto1,0.396648764,0.2283185,1.49E-07,1.29E-08,1.30E-08,0.375032562,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
5,5,chatgpto1,0.273845478,0.226151287,1.73E-08,1.58E-08,1.72E-08,0.500003185,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
6,6,chatgpto1,0.48199907,0.080497008,2.10E-08,2.10E-08,2.10E-08,0.437503859,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
7,7,chatgpto1,0.395956725,0.104043189,1.82E-08,1.82E-08,1.82E-08,0.500000032,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
8,8,chatgpto1,0.312499905,1.82E-08,1.82E-08,1.82E-08,1.82E-08,0.687500022,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
9,9,chatgpto1,0.193920162,0.305995921,2.09E-08,2.05E-08,2.09E-08,0.500083855,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
10,10,chatgpto1,0.200164408,0.174733076,2.18E-09,1.94E-09,7.53E-07,0.625101759,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
11,11,chatgpto1,0.496310973,0.273092772,0.043095204,3.40E-09,6.80E-08,0.18750098,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
12,12,chatgpto1,0.461971428,0.100493323,2.58E-08,2.58E-08,2.58E-08,0.437535172,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
13,13,chatgpto1,0.199492568,1.62E-08,1.62E-08,0.050394904,1.62E-08,0.75011248,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
14,14,chatgpto1,0.264120604,0.485878577,1.99E-08,2.00E-08,2.00E-08,0.250000759,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
15,15,chatgpto1,0.194141078,0.118358897,2.12E-08,2.12E-08,2.12E-08,0.687499961,901,501,901,501,901,901,901,901,501,901,501,501,901,501,901,501,_1,1,0.198133754,0.534364178,0.030990506,0.35244635,1.26E-08,0.050992585,7.27E-09,9.98E-06,1.26E-08,2.69E-07,0.264136402,0.625004752,901,901,501,501,901,901,501,501,901,901,901,901,901,901,901,901,501,501,901,901,501,501,501,501,901,901,501,501,901,901,501,501
